Date,APA,BKR,CVX,COP,CTRA,DVN,FANG,EOG,EQT,XOM,HAL,HES,KMI,MRO,MPC,OXY,OKE,PSX,PXD,SLB,TRGP,VLO,WMB
2019-11-27,22.23138427734375,20.299156188964844,101.58403015136719,53.19150924682617,13.409019470214844,18.071609497070312,68.14204406738281,60.6600456237793,8.822291374206543,57.20673751831055,20.271835327148438,59.6812744140625,15.978970527648926,11.405774116516113,54.10806655883789,36.31065368652344,55.261356353759766,98.796142578125,106.7948226928711,33.78178024291992,34.04589080810547,82.7495346069336,18.088117599487305
2019-11-29,21.331409454345703,20.1821346282959,100.7752914428711,52.83889389038086,13.153215408325195,17.573862075805664,67.11800384521484,59.444332122802734,8.500946998596191,56.73209762573242,19.874162673950195,58.7073974609375,15.88178825378418,11.184953689575195,53.37747573852539,36.14198684692383,54.96738052368164,98.82199096679688,104.87517547607422,33.25810623168945,33.70450973510742,81.37747955322266,18.09608268737793
2019-12-02,18.708070755004883,19.93007469177246,100.49137115478516,53.217952728271484,13.202725410461426,17.525691986083984,67.58662414550781,59.35209655761719,8.21855640411377,56.97358322143555,20.158214569091797,57.856422424316406,15.711709976196289,11.482579231262207,53.579925537109375,36.245059967041016,54.7894401550293,98.48601531982422,104.00557708740234,33.40509796142578,33.70450973510742,81.47122955322266,17.96068000793457
2019-12-03,17.59745216369629,19.191925048828125,99.70842742919922,51.91328811645508,12.96342658996582,17.188505172729492,66.74484252929688,57.66687774658203,8.25750732421875,56.52392578125,19.684791564941406,56.53269958496094,15.509237289428711,11.290563583374023,52.84052276611328,35.626609802246094,54.30203628540039,97.12498474121094,101.30657958984375,32.59465789794922,33.1601448059082,80.01394653320312,17.68191146850586
2019-12-04,17.90383529663086,19.957088470458984,100.61181640625,53.4471435546875,13.285242080688477,17.97527503967285,69.91239929199219,60.40851974487305,8.520423889160156,57.16510772705078,20.506181716918945,57.884788513183594,15.630722045898438,11.684196472167969,52.84052276611328,36.029544830322266,54.79718780517578,96.96993255615234,107.06553649902344,33.7125129699707,32.63423156738281,79.43444061279297,17.626157760620117
2019-12-05,17.7889404296875,19.93007469177246,100.08699798583984,52.7507438659668,13.169716835021973,17.71837043762207,69.37435913085938,59.18441390991211,8.384096145629883,56.96525955200195,20.45842933654785,57.6295051574707,15.93847942352295,11.55938720703125,52.68208694458008,35.5891227722168,54.91323471069336,96.94408416748047,105.2607421875,33.395782470703125,32.49583435058594,79.2469482421875,17.673948287963867
2019-12-06,19.138904571533203,19.993093490600586,101.53241729736328,54.62840270996094,13.26873779296875,18.577392578125,72.22952270507812,62.009910583496094,8.549635887145996,57.881229400634766,21.327579498291016,58.868133544921875,15.99516773223877,11.953019142150879,52.990169525146484,36.55427932739258,55.38514709472656,97.8227310180664,109.8465576171875,34.36458969116211,33.05864715576172,79.77531433105469,17.83324432373047
2019-12-09,19.751657485961914,20.029102325439453,100.92156219482422,54.5049934387207,13.293493270874023,18.58542251586914,72.70683288574219,62.47104263305664,8.637274742126465,58.006134033203125,21.556806564331055,58.385921478271484,16.1490478515625,12.087430000305176,51.432151794433594,35.71263122558594,55.85707092285156,96.44446563720703,109.26412963867188,34.61610412597656,33.57533645629883,78.8464126586914,18.239452362060547
2019-12-10,20.038881301879883,20.110118865966797,101.42916870117188,54.44327926635742,13.359508514404297,18.80218505859375,72.42913055419922,62.74772644042969,8.851502418518066,57.50651550292969,21.766931533813477,58.36701202392578,16.29482650756836,12.087430000305176,51.64341354370117,35.932613372802734,56.08916473388672,96.41861724853516,110.37979125976562,34.783782958984375,34.21195983886719,80.59344482421875,18.27131462097168
2019-12-11,20.373985290527344,20.41617774963379,100.00096893310547,54.37275695800781,13.202725410461426,18.80218505859375,72.7502212524414,62.60519027709961,8.61780071258545,57.42325210571289,22.330442428588867,58.244083404541016,16.359617233276367,12.1066312789917,50.27024459838867,35.903926849365234,56.15879440307617,96.6598129272461,111.7251968383789,35.771217346191406,34.00898361206055,79.16175842285156,18.47043228149414
