Date,ACN,ADBE,AKAM,AMD,APH,ADI,ANSS,AAPL,AMAT,ANET,ADSK,AVGO,CDNS,CDW,CDAY,CSCO,CTSH,GLW,DXC,ENPH,EPAM,FFIV,FSLR,FTNT,IT,GEN,HPE,PAYC
2021-03-17,257.35736083984375,451.010009765625,100.26000213623047,82.62999725341797,63.79826354980469,148.75982666015625,328.3699951171875,123.2761001586914,117.90766906738281,72.3324966430664,272.8399963378906,451.75885009765625,128.49000549316406,156.9451141357422,89.01000213623047,46.556514739990234,75.78620147705078,39.04984664916992,28.65999984741211,163.82000732421875,373.8800048828125,201.3800048828125,80.13999938964844,36.53200149536133,184.5,20.550174713134766,15.032785415649414,384.70001220703125
2021-03-18,259.90887451171875,439.17999267578125,98.16999816894531,78.12000274658203,63.53435516357422,144.21482849121094,321.489990234375,119.09640502929688,112.38105010986328,70.94999694824219,263.44000244140625,433.5984191894531,124.02999877929688,153.7162322998047,82.70999908447266,45.97243118286133,74.20308685302734,39.134925842285156,28.15999984741211,148.47999572753906,368.9100036621094,200.2899932861328,77.61000061035156,34.61199951171875,183.10000610351562,20.338912963867188,14.610779762268066,365.3599853515625
2021-03-19,256.8802185058594,441.5,99.4000015258789,79.05999755859375,62.85014343261719,146.58865356445312,324.25,118.56282806396484,112.95140838623047,71.30500030517578,261.5,446.6944580078125,125.4800033569336,154.62619018554688,82.9800033569336,46.14200210571289,74.34877014160156,39.02149200439453,28.030000686645508,154.9499969482422,379.6000061035156,200.25,79.97000122070312,34.89799880981445,182.85000610351562,20.281295776367188,14.329442977905273,372.5299987792969
2021-03-22,258.2630615234375,452.4100036621094,100.19000244140625,80.30000305175781,63.393856048583984,149.08790588378906,334.8599853515625,121.92239379882812,117.34713745117188,72.5625,265.9599914550781,447.4664306640625,127.97000122070312,155.8688507080078,84.23999786376953,47.385520935058594,74.52359008789062,38.728450775146484,27.719999313354492,161.11000061035156,380.45001220703125,202.94000244140625,81.83000183105469,35.82400131225586,183.0399932861328,20.463747024536133,14.385710716247559,378.75
2021-03-23,259.0712890625,460.20001220703125,99.69000244140625,78.37999725341797,61.650054931640625,145.21839904785156,333.5299987792969,121.0824966430664,114.4461441040039,71.50250244140625,269.0,436.9030456542969,128.25,152.69859313964844,83.77999877929688,47.11231994628906,74.03797149658203,37.68863296508789,26.459999084472656,155.97000122070312,373.8299865722656,201.33999633789062,80.5199966430664,35.2140007019043,181.6199951171875,20.530967712402344,13.841791152954102,373.8900146484375
2021-03-24,260.551513671875,451.510009765625,98.38999938964844,76.4800033569336,62.35541534423828,145.170166015625,330.3699951171875,118.66162872314453,119.08772277832031,71.11499786376953,263.17999267578125,430.5103759765625,126.97000122070312,153.04104614257812,80.80000305175781,46.7731819152832,74.72755432128906,38.04784393310547,26.350000381469727,147.97999572753906,368.510009765625,197.7100067138672,80.72000122070312,34.2599983215332,181.10000610351562,20.223674774169922,13.841791152954102,364.3699951171875
2021-03-25,261.5838623046875,450.989990234375,99.54000091552734,76.22000122070312,63.1881217956543,144.64903259277344,327.8800048828125,119.15568542480469,117.73065185546875,73.0,262.19000244140625,434.68115234375,125.66999816894531,156.18191528320312,80.95999908447266,47.58334732055664,74.88294982910156,38.964778900146484,27.360000610351562,148.47999572753906,368.010009765625,201.3000030517578,80.7300033569336,34.24599838256836,181.8000030517578,20.214075088500977,14.385710716247559,363.04998779296875
2021-03-26,273.42578125,469.0899963378906,102.69999694824219,77.41000366210938,65.13764190673828,151.6064910888672,342.9599914550781,119.76832580566406,126.50243377685547,77.81749725341797,269.010009765625,453.8308410644531,132.5800018310547,164.28358459472656,83.58999633789062,49.52399444580078,76.9614028930664,41.03496170043945,28.389999389648438,152.07000732421875,387.739990234375,210.44000244140625,85.69000244140625,36.55400085449219,185.83999633789062,20.751834869384766,15.014029502868652,372.6099853515625
2021-03-29,272.2279968261719,469.32000732421875,103.0999984741211,77.13999938964844,64.86334228515625,148.46070861816406,342.2300109863281,119.94617462158203,123.6211166381836,76.92250061035156,270.7799987792969,444.9621276855469,132.75,161.50474548339844,81.66000366210938,49.476890563964844,75.81533813476562,41.02550506591797,28.540000915527344,142.13999938964844,378.0799865722656,208.77999877929688,81.61000061035156,36.73400115966797,181.69000244140625,20.857465744018555,14.685802459716797,364.42999267578125
2021-03-30,271.2638244628906,465.4599914550781,101.18000030517578,76.0,64.25595092773438,147.26412963867188,331.8900146484375,118.4738998413086,124.65367889404297,74.71499633789062,268.42999267578125,429.4653625488281,130.8699951171875,161.2699432373047,81.91000366210938,48.770347595214844,76.3106689453125,41.21455764770508,31.139999389648438,150.60000610351562,383.510009765625,207.6300048828125,86.52999877929688,36.26599884033203,181.72999572753906,20.262088775634766,14.79833698272705,360.19000244140625
